B	tensión	tensión	B	tensión	tensión
Gauss	mV	mV	T	V	V
	Sensor 1 T	Sensor 0,1 T		Sensor 1 T	Sensor 0,1 T
			Col(A)/10000	Col(B)/1000	Col(C)/1000
1	0	0.4	1.00E-04	0	4.00E-04
2	0	1.2	2.00E-04	0	0.0012
3	1.1	2.1	3.00E-04	0.0011	0.0021
4	0.2	2.9	4.00E-04	2.00E-04	0.0029
5	0.3	3.8	5.00E-04	3.00E-04	0.0038
10	0.9	8	0.001	9.00E-04	0.008
15	1.4	12.2	0.0015	0.0014	0.0122
20	1.9	16.5	0.002	0.0019	0.0165
25	2.4	20.7	0.0025	0.0024	0.0207
30	2.9	24.9	0.003	0.0029	0.0249
35	3.4	29.1	0.0035	0.0034	0.0291
40	3.9	33.3	0.004	0.0039	0.0333
45	4.5	37.5	0.0045	0.0045	0.0375
50	5	41.7	0.005	0.005	0.0417
100	10.1	83.8	0.01	0.0101	0.0838
200	20.4	168.1	0.02	0.0204	0.1681
300	30.6	252.3	0.03	0.0306	0.2523
400	41	337.5	0.04	0.041	0.3375
500	51.3	420	0.05	0.0513	0.42
1000	102.4	840	0.1	0.1024	0.84
2000	205	1685	0.2	0.205	1.685
3000	306.7	2529	0.3	0.3067	2.529
4000	407	3385	0.4	0.407	3.385
5000	507	4220	0.5	0.507	4.22
10000	984	7490	1	0.984	7.49
